Latitude,Longitude,Lower2s,Median,Upper2s,ProxyType,Species
17.1,69,-3.65916218999952,-2.28343359615951,-0.981937234046033,delo,ruber
17.1,69,-2.8183698833649,-1.35938162563868,-0.00978943767935014,mg,ruber
17.3,119.5,-3.40466413884117,-1.8692427582204,-0.418998137003928,delo,ruber
17.3,119.5,-4.85657226453636,-3.42906756503252,-2.0771557548187,mg,ruber
17.4,-77.7,-6.07506539828876,-4.69746761639474,-3.27916277614696,delo,ruber
17.4,58.8,-13.3890149482392,-11.9455690789138,-10.450282293913,delo,ruber
18,57.6,-1.78656339713567,-0.453360407494232,1.01373694508682,delo,bulloides
18,111.5,-4.04209827534537,-2.6041949953793,-1.11320771808403,delo,sacculifer
18,111.5,-6.32330552652168,-3.58391800168686,-2.01824715165418,uk,
18.1,-18,-6.70126883878695,-5.27057675492472,-3.94093253810046,mg,bulloides
18.1,-18,-3.11183871729499,-1.70313119836175,-0.220010057821762,mg,ruber
18.1,57.6,-7.06172228872938,-4.11105438660599,-2.33616277519604,uk,
18.8,115.9,-2.35433599204403,-0.937842347785486,0.437855708608781,delo,sacculifer
18.8,115.9,-8.59986393564501,-4.78758542104216,-2.82601492689729,uk,
19,-20.2,-3.99246121991224,-2.56233746162561,-1.03552674067048,uk,
19.2,60.7,-7.0320953765887,-4.15992077578493,-2.38238954486626,uk,
19.4,-17.3,-5.69586753804005,-4.25959053104962,-2.733369466889,tex,
19.4,-17.3,-0.835472501076397,0.517852331846402,1.86943123197787,uk,
19.6,117.6,-3.88377821863136,-2.43962831435165,-0.997434955680578,delo,ruber
19.6,117.6,-5.55868851981221,-4.05933742208831,-2.61894373658315,mg,ruber
19.7,-20.7,-5.92184290028416,-4.24851743910898,-2.74887672654138,uk,
19.8,117.5,-4.35539984889814,-2.94487653200083,-1.46349552606214,delo,ruber
19.8,117.5,-2.868335562619,-1.45469776586087,-0.0453884597406216,delo,sacculifer
20,90,-2.28172758393762,-0.844145524453317,0.592390522662988,uk,
20.1,117.4,-2.69782014754117,-1.30383448807038,0.0934804832201834,delo,ruber
20.1,117.4,-3.5012659645173,-2.11791626982143,-0.619572814196843,delo,sacculifer
20.1,117.4,-5.23768827820483,-3.83597438463286,-2.41801658345084,mg,sacculifer
20.1,117.4,-6.06717740872347,-4.58544283873938,-3.1400974038528,tex,
20.1,117.4,-8.01333457284505,-4.73681345215897,-3.08725910062948,uk,
20.2,-18.5,-3.84185872717339,-2.42472523437513,-0.966801328846909,tex,
20.2,-18.5,-1.33679609076388,0.0351848144994893,1.47061630335709,uk,
20.7,-18.6,-2.3420313515999,-0.90864382572164,0.491887172773231,uk,
20.7,59.6,-5.50787568357914,-3.38748790293342,-1.76906114137961,uk,
20.9,63.1,-5.63752309801044,-4.09649975946859,-2.69548569219121,delo,ruber
21,65.6,-10.1177285261759,-8.65283850634633,-7.23716156734248,delo,ruber
21.1,-18.6,-5.50063673964006,-4.00178964506223,-2.6910163493546,delo,ruber
21.3,-158.2,-5.52381887368564,-2.41218513540721,-0.82704479275713,uk,
21.4,-158.2,-1.16233705080501,0.313952452534611,1.74243375296861,delo,ruber
21.4,-158.2,-6.42749020708978,-2.90199353009518,-1.28139793775211,uk,
23,-109.5,-6.43293336277011,-3.80384585448716,-2.25245654090824,uk,
23.2,-17.4,-5.06089847659806,-3.53778920796447,-2.03980901386738,tex,
23.2,-17.4,-5.40588816995708,-4.03991582658736,-2.57228403037887,uk,
23.6,64.2,-7.72053751221194,-4.83630953752614,-2.80157686747043,uk,
24.3,-83.3,-5.13569888879651,-3.77741381998815,-2.42113812193684,mg,ruber
25,-16.7,-5.61992204298298,-4.21685753958499,-2.79023283497841,uk,
26.4,-92,-0.557847165924249,0.820387382228354,2.32174866088967,delo,ruber
26.4,-92,-5.3952207665559,-4.04443534370526,-2.69551199026233,mg,ruber
26.7,125.8,-2.29456396894722,-0.758869340044921,0.638848788581774,delo,ruber
26.8,-15.4,-7.97197497688064,-6.51873188864677,-4.99736125492024,tex,
